Date_Time (LST/LDT), Event, Speed (knots)
2024-03-14 01:30 AM, slack,-
2024-03-14 04:06 AM, flood,5.4
2024-03-14 07:12 AM, slack,-
2024-03-14 10:00 AM, ebb,-7.1
2024-03-14 02:06 PM, slack,-
2024-03-14 05:06 PM, flood,4.4
2024-03-14 08:18 PM, slack,-
2024-03-14 11:12 PM, ebb,-5.1
2024-03-15 02:30 AM, slack,-
2024-03-15 04:54 AM, flood,4.7
2024-03-15 08:00 AM, slack,-
2024-03-15 10:48 AM, ebb,-6.6
2024-03-15 03:00 PM, slack,-
2024-03-15 06:48 PM, flood,4.2
2024-03-15 09:24 PM, slack,-
2024-03-16 12:48 AM, ebb,-4.6
2024-03-16 03:30 AM, slack,-
2024-03-16 05:54 AM, flood,3.7
2024-03-16 08:54 AM, slack,-
2024-03-16 11:42 AM, ebb,-6.0
2024-03-16 04:00 PM, slack,-
2024-03-16 08:00 PM, flood,4.3
2024-03-16 10:30 PM, slack,-
2024-03-17 02:06 AM, ebb,-4.6
2024-03-17 04:42 AM, slack,-
2024-03-17 07:12 AM, flood,2.9
2024-03-17 09:48 AM, slack,-
2024-03-17 12:48 PM, ebb,-5.3
2024-03-17 05:00 PM, slack,-
2024-03-17 09:06 PM, flood,4.5
2024-03-17 11:36 PM, slack,-
2024-03-18 03:12 AM, ebb,-4.9
2024-03-18 06:00 AM, slack,-
2024-03-18 08:42 AM, flood,2.5
2024-03-18 10:54 AM, slack,-
2024-03-18 02:06 PM, ebb,-4.8
2024-03-18 05:54 PM, slack,-
2024-03-18 10:00 PM, flood,4.8
2024-03-19 12:30 AM, slack,-
2024-03-19 04:06 AM, ebb,-5.4
2024-03-19 07:06 AM, slack,-
2024-03-19 10:00 AM, flood,2.7
2024-03-19 12:00 PM, slack,-
2024-03-19 03:24 PM, ebb,-4.5
2024-03-19 06:48 PM, slack,-
2024-03-19 10:48 PM, flood,4.8
2024-03-20 01:12 AM, slack,-
2024-03-20 04:54 AM, ebb,-5.9
2024-03-20 07:54 AM, slack,-
2024-03-20 11:00 AM, flood,3.2
2024-03-20 01:00 PM, slack,-
2024-03-20 04:36 PM, ebb,-4.5
2024-03-20 07:30 PM, slack,-
2024-03-20 11:24 PM, flood,4.6
2024-03-21 01:48 AM, slack,-
2024-03-21 05:30 AM, ebb,-6.1
2024-03-21 08:30 AM, slack,-
2024-03-21 11:42 AM, flood,3.7
2024-03-21 01:54 PM, slack,-
2024-03-21 05:24 PM, ebb,-4.5
2024-03-21 08:18 PM, slack,-
2024-03-21 11:54 PM, flood,4.3
2024-03-22 02:18 AM, slack,-
2024-03-22 06:00 AM, ebb,-6.1
2024-03-22 09:06 AM, slack,-
2024-03-22 12:12 PM, flood,4.1
2024-03-22 02:42 PM, slack,-
2024-03-22 06:00 PM, ebb,-4.7
2024-03-22 09:06 PM, slack,-
2024-03-23 12:06 AM, flood,4.0
2024-03-23 02:48 AM, slack,-
2024-03-23 06:06 AM, ebb,-6.0
2024-03-23 09:36 AM, slack,-
2024-03-23 12:36 PM, flood,4.4
2024-03-23 03:24 PM, slack,-
2024-03-23 06:30 PM, ebb,-4.9
2024-03-23 09:48 PM, slack,-
2024-03-24 12:24 AM, flood,4.1
2024-03-24 03:24 AM, slack,-
2024-03-24 06:18 AM, ebb,-6.1
2024-03-24 10:06 AM, slack,-
2024-03-24 12:48 PM, flood,4.6
2024-03-24 04:06 PM, slack,-
2024-03-24 07:00 PM, ebb,-5.1
2024-03-24 10:30 PM, slack,-
2024-03-25 12:54 AM, flood,4.2
2024-03-25 04:00 AM, slack,-
2024-03-25 06:48 AM, ebb,-6.3
2024-03-25 10:36 AM, slack,-
2024-03-25 01:12 PM, flood,4.7
2024-03-25 04:42 PM, slack,-
2024-03-25 07:36 PM, ebb,-5.3
2024-03-25 11:12 PM, slack,-
2024-03-26 01:36 AM, flood,4.4
2024-03-26 04:42 AM, slack,-
2024-03-26 07:24 AM, ebb,-6.5
2024-03-26 11:12 AM, slack,-
2024-03-26 01:48 PM, flood,4.8
2024-03-26 05:24 PM, slack,-
2024-03-26 08:18 PM, ebb,-5.4
2024-03-26 11:54 PM, slack,-
2024-03-27 02:24 AM, flood,4.6
2024-03-27 05:18 AM, slack,-
2024-03-27 08:06 AM, ebb,-6.7
2024-03-27 11:54 AM, slack,-
2024-03-27 02:30 PM, flood,4.9
2024-03-27 06:12 PM, slack,-
2024-03-27 09:00 PM, ebb,-5.3
2024-03-28 12:42 AM, slack,-
2024-03-28 03:06 AM, flood,4.5
2024-03-28 06:00 AM, slack,-
2024-03-28 08:54 AM, ebb,-7.0
2024-03-28 12:36 PM, slack,-
2024-03-28 03:18 PM, flood,5.0
2024-03-28 07:00 PM, slack,-
2024-03-28 09:42 PM, ebb,-5.0
2024-03-29 01:30 AM, slack,-
2024-03-29 03:48 AM, flood,4.1
2024-03-29 06:36 AM, slack,-
2024-03-29 09:36 AM, ebb,-7.2
2024-03-29 01:18 PM, slack,-
2024-03-29 04:00 PM, flood,5.1
2024-03-29 07:54 PM, slack,-
2024-03-29 10:30 PM, ebb,-4.5
2024-03-30 02:30 AM, slack,-
2024-03-30 04:36 AM, flood,3.4
2024-03-30 07:12 AM, slack,-
2024-03-30 10:18 AM, ebb,-7.1
2024-03-30 02:00 PM, slack,-
2024-03-30 04:48 PM, flood,5.2
2024-03-30 08:54 PM, slack,-
2024-03-30 11:30 PM, ebb,-3.9
2024-03-31 03:30 AM, slack,-
2024-03-31 05:24 AM, flood,2.5
2024-03-31 07:48 AM, slack,-
2024-03-31 11:06 AM, ebb,-6.7
2024-03-31 02:48 PM, slack,-
2024-03-31 05:42 PM, flood,5.2
2024-03-31 09:54 PM, slack,-
2024-04-01 01:12 AM, ebb,-3.8
2024-04-01 04:42 AM, slack,-
2024-04-01 06:24 AM, flood,1.8
2024-04-01 08:36 AM, slack,-
2024-04-01 12:00 PM, ebb,-6.1
2024-04-01 03:42 PM, slack,-
2024-04-01 06:42 PM, flood,5.1
2024-04-01 10:54 PM, slack,-
2024-04-02 02:42 AM, ebb,-4.2
2024-04-02 05:54 AM, slack,-
2024-04-02 07:30 AM, flood,1.5
2024-04-02 09:48 AM, slack,-
2024-04-02 01:00 PM, ebb,-5.5
2024-04-02 04:42 PM, slack,-
2024-04-02 07:42 PM, flood,5.2
2024-04-02 11:48 PM, slack,-
2024-04-03 03:30 AM, ebb,-4.9
2024-04-03 06:54 AM, slack,-
2024-04-03 08:48 AM, flood,1.9
2024-04-03 11:18 AM, slack,-
2024-04-03 02:06 PM, ebb,-5.2
2024-04-03 05:42 PM, slack,-
2024-04-03 08:42 PM, flood,5.2
2024-04-04 12:36 AM, slack,-
2024-04-04 04:06 AM, ebb,-5.7
2024-04-04 07:36 AM, slack,-
2024-04-04 10:12 AM, flood,2.8
2024-04-04 12:36 PM, slack,-
2024-04-04 03:12 PM, ebb,-5.3
2024-04-04 06:48 PM, slack,-
2024-04-04 09:42 PM, flood,5.3
2024-04-05 01:18 AM, slack,-
2024-04-05 04:36 AM, ebb,-6.4
2024-04-05 08:12 AM, slack,-
2024-04-05 11:12 AM, flood,3.9
2024-04-05 01:36 PM, slack,-
2024-04-05 04:18 PM, ebb,-5.6
2024-04-05 07:48 PM, slack,-
2024-04-05 10:42 PM, flood,5.5
2024-04-06 02:00 AM, slack,-
2024-04-06 05:06 AM, ebb,-7.0
2024-04-06 08:54 AM, slack,-
2024-04-06 11:54 AM, flood,4.8
2024-04-06 02:36 PM, slack,-
2024-04-06 05:18 PM, ebb,-6.0
2024-04-06 08:42 PM, slack,-
2024-04-06 11:36 PM, flood,5.7
2024-04-07 02:42 AM, slack,-
2024-04-07 05:42 AM, ebb,-7.5
2024-04-07 09:36 AM, slack,-
2024-04-07 12:36 PM, flood,5.3
2024-04-07 03:30 PM, slack,-
2024-04-07 06:18 PM, ebb,-6.3
2024-04-07 09:42 PM, slack,-
2024-04-08 12:24 AM, flood,5.9
2024-04-08 03:30 AM, slack,-
2024-04-08 06:24 AM, ebb,-7.7
2024-04-08 10:18 AM, slack,-
2024-04-08 01:24 PM, flood,5.5
2024-04-08 04:24 PM, slack,-
2024-04-08 07:12 PM, ebb,-6.4
2024-04-08 10:36 PM, slack,-
2024-04-09 01:12 AM, flood,5.9
2024-04-09 04:18 AM, slack,-
2024-04-09 07:12 AM, ebb,-7.8
2024-04-09 11:06 AM, slack,-
2024-04-09 02:18 PM, flood,5.5
2024-04-09 05:12 PM, slack,-
2024-04-09 08:12 PM, ebb,-6.3
2024-04-09 11:24 PM, slack,-
2024-04-10 02:06 AM, flood,5.8
2024-04-10 05:06 AM, slack,-
2024-04-10 08:00 AM, ebb,-7.8
2024-04-10 11:54 AM, slack,-
2024-04-10 03:18 PM, flood,5.4
2024-04-10 06:12 PM, slack,-
2024-04-10 09:12 PM, ebb,-6.1
2024-04-11 12:18 AM, slack,-
2024-04-11 03:00 AM, flood,5.5
2024-04-11 05:54 AM, slack,-
2024-04-11 08:54 AM, ebb,-7.7
2024-04-11 12:48 PM, slack,-
2024-04-11 04:12 PM, flood,5.3
2024-04-11 07:06 PM, slack,-
2024-04-11 10:12 PM, ebb,-5.7
2024-04-12 01:18 AM, slack,-
2024-04-12 03:48 AM, flood,4.8
2024-04-12 06:42 AM, slack,-
2024-04-12 09:36 AM, ebb,-7.3
2024-04-12 01:36 PM, slack,-
2024-04-12 05:12 PM, flood,5.1
2024-04-12 08:06 PM, slack,-
2024-04-12 11:18 PM, ebb,-5.1
2024-04-13 02:18 AM, slack,-
2024-04-13 04:36 AM, flood,3.9
2024-04-13 07:30 AM, slack,-
2024-04-13 10:18 AM, ebb,-6.7
2024-04-13 02:24 PM, slack,-
2024-04-13 06:18 PM, flood,4.8
2024-04-13 09:06 PM, slack,-
2024-04-14 12:36 AM, ebb,-4.8
2024-04-14 03:24 AM, slack,-
2024-04-14 05:30 AM, flood,2.9
2024-04-14 08:18 AM, slack,-
2024-04-14 11:06 AM, ebb,-5.7
2024-04-14 03:18 PM, slack,-
2024-04-14 07:24 PM, flood,4.5
2024-04-14 10:00 PM, slack,-
2024-04-15 01:42 AM, ebb,-4.8
2024-04-15 04:30 AM, slack,-
2024-04-15 06:54 AM, flood,2.1
2024-04-15 09:12 AM, slack,-
2024-04-15 12:00 PM, ebb,-4.6
2024-04-15 04:12 PM, slack,-
2024-04-15 08:18 PM, flood,4.2
2024-04-15 10:54 PM, slack,-
2024-04-16 02:42 AM, ebb,-5.0
2024-04-16 05:42 AM, slack,-
2024-04-16 08:30 AM, flood,2.0
2024-04-16 10:24 AM, slack,-
2024-04-16 01:18 PM, ebb,-3.7
2024-04-16 05:06 PM, slack,-
2024-04-16 09:12 PM, flood,3.8
2024-04-16 11:42 PM, slack,-
2024-04-17 03:30 AM, ebb,-5.3
2024-04-17 06:36 AM, slack,-
2024-04-17 09:42 AM, flood,2.4
2024-04-17 11:42 AM, slack,-
2024-04-17 03:12 PM, ebb,-3.4
2024-04-17 06:06 PM, slack,-
2024-04-17 10:06 PM, flood,3.5
2024-04-18 12:18 AM, slack,-
2024-04-18 04:18 AM, ebb,-5.5
2024-04-18 07:18 AM, slack,-
2024-04-18 10:36 AM, flood,3.1
2024-04-18 12:48 PM, slack,-
2024-04-18 04:24 PM, ebb,-3.7
2024-04-18 07:06 PM, slack,-
2024-04-18 10:48 PM, flood,3.4
2024-04-19 12:54 AM, slack,-
2024-04-19 04:48 AM, ebb,-5.6
2024-04-19 07:54 AM, slack,-
2024-04-19 11:18 AM, flood,3.8
2024-04-19 01:36 PM, slack,-
2024-04-19 05:12 PM, ebb,-4.1
2024-04-19 07:54 PM, slack,-
2024-04-19 11:12 PM, flood,3.4
2024-04-20 01:30 AM, slack,-
2024-04-20 05:00 AM, ebb,-5.7
2024-04-20 08:24 AM, slack,-
2024-04-20 11:54 AM, flood,4.2
2024-04-20 02:18 PM, slack,-
2024-04-20 05:48 PM, ebb,-4.6
2024-04-20 08:42 PM, slack,-
2024-04-20 11:30 PM, flood,3.7
2024-04-21 02:06 AM, slack,-
2024-04-21 05:12 AM, ebb,-5.9
2024-04-21 08:54 AM, slack,-
2024-04-21 12:06 PM, flood,4.4
2024-04-21 03:00 PM, slack,-
2024-04-21 06:18 PM, ebb,-5.0
2024-04-21 09:24 PM, slack,-
2024-04-21 11:54 PM, flood,4.1
2024-04-22 02:48 AM, slack,-
2024-04-22 05:36 AM, ebb,-6.3
2024-04-22 09:30 AM, slack,-
2024-04-22 12:18 PM, flood,4.7
2024-04-22 03:42 PM, slack,-
2024-04-22 06:42 PM, ebb,-5.2
2024-04-22 10:06 PM, slack,-
2024-04-23 12:30 AM, flood,4.5
2024-04-23 03:24 AM, slack,-
2024-04-23 06:12 AM, ebb,-6.7
2024-04-23 10:06 AM, slack,-
2024-04-23 12:42 PM, flood,5.0
2024-04-23 04:24 PM, slack,-
2024-04-23 07:18 PM, ebb,-5.3
2024-04-23 10:48 PM, slack,-
2024-04-24 01:12 AM, flood,4.6
2024-04-24 04:06 AM, slack,-
2024-04-24 06:54 AM, ebb,-7.1
2024-04-24 10:48 AM, slack,-
2024-04-24 01:24 PM, flood,5.2
2024-04-24 05:06 PM, slack,-
2024-04-24 08:00 PM, ebb,-5.3
2024-04-24 11:36 PM, slack,-
2024-04-25 01:54 AM, flood,4.5
2024-04-25 04:42 AM, slack,-
2024-04-25 07:36 AM, ebb,-7.5
2024-04-25 11:24 AM, slack,-
2024-04-25 02:06 PM, flood,5.6
2024-04-25 06:00 PM, slack,-
2024-04-25 08:48 PM, ebb,-5.1
2024-04-26 12:24 AM, slack,-
2024-04-26 02:36 AM, flood,4.1
2024-04-26 05:18 AM, slack,-
2024-04-26 08:18 AM, ebb,-7.8
2024-04-26 12:00 PM, slack,-
2024-04-26 02:54 PM, flood,6.0
2024-04-26 06:48 PM, slack,-
2024-04-26 09:30 PM, ebb,-4.9
2024-04-27 01:18 AM, slack,-
2024-04-27 03:24 AM, flood,3.5
2024-04-27 05:54 AM, slack,-
2024-04-27 09:06 AM, ebb,-7.8
2024-04-27 12:42 PM, slack,-
2024-04-27 03:42 PM, flood,6.2
2024-04-27 07:42 PM, slack,-
2024-04-27 10:12 PM, ebb,-4.7
2024-04-28 02:18 AM, slack,-
2024-04-28 04:06 AM, flood,2.8
2024-04-28 06:30 AM, slack,-
2024-04-28 09:48 AM, ebb,-7.5
2024-04-28 01:24 PM, slack,-
2024-04-28 04:24 PM, flood,6.3
2024-04-28 08:30 PM, slack,-
2024-04-28 11:06 PM, ebb,-4.5
2024-04-29 03:18 AM, slack,-
2024-04-29 05:00 AM, flood,2.1
2024-04-29 07:12 AM, slack,-
2024-04-29 10:36 AM, ebb,-6.7
2024-04-29 02:06 PM, slack,-
2024-04-29 05:12 PM, flood,6.0
2024-04-29 09:18 PM, slack,-
2024-04-30 12:06 AM, ebb,-4.5
2024-04-30 04:24 AM, slack,-
2024-04-30 06:00 AM, flood,1.7
2024-04-30 08:12 AM, slack,-
2024-04-30 11:30 AM, ebb,-5.7
2024-04-30 03:00 PM, slack,-
2024-04-30 06:06 PM, flood,5.5
2024-04-30 10:06 PM, slack,-
2024-05-01 01:18 AM, ebb,-4.8
2024-05-01 05:24 AM, slack,-
2024-05-01 07:12 AM, flood,1.7
2024-05-01 09:42 AM, slack,-
2024-05-01 12:36 PM, ebb,-4.9
2024-05-01 04:06 PM, slack,-
2024-05-01 07:06 PM, flood,5.0
2024-05-01 11:00 PM, slack,-
2024-05-02 02:12 AM, ebb,-5.3
2024-05-02 06:12 AM, slack,-
2024-05-02 08:36 AM, flood,2.3
2024-05-02 11:12 AM, slack,-
2024-05-02 01:48 PM, ebb,-4.5
2024-05-02 05:24 PM, slack,-
2024-05-02 08:12 PM, flood,4.8
2024-05-02 11:48 PM, slack,-
2024-05-03 03:00 AM, ebb,-5.9
2024-05-03 07:00 AM, slack,-
2024-05-03 10:06 AM, flood,3.3
2024-05-03 12:30 PM, slack,-
2024-05-03 03:06 PM, ebb,-4.7
2024-05-03 06:36 PM, slack,-
2024-05-03 09:18 PM, flood,4.8
2024-05-04 12:42 AM, slack,-
2024-05-04 03:48 AM, ebb,-6.6
2024-05-04 07:42 AM, slack,-
2024-05-04 11:06 AM, flood,4.4
2024-05-04 01:30 PM, slack,-
2024-05-04 04:24 PM, ebb,-5.3
2024-05-04 07:36 PM, slack,-
2024-05-04 10:30 PM, flood,5.1
2024-05-05 01:30 AM, slack,-
2024-05-05 04:36 AM, ebb,-7.2
2024-05-05 08:30 AM, slack,-
2024-05-05 11:54 AM, flood,5.2
2024-05-05 02:24 PM, slack,-
2024-05-05 05:24 PM, ebb,-5.9
2024-05-05 08:30 PM, slack,-
2024-05-05 11:24 PM, flood,5.6
2024-05-06 02:18 AM, slack,-
2024-05-06 05:24 AM, ebb,-7.7
2024-05-06 09:12 AM, slack,-
2024-05-06 12:36 PM, flood,5.6
2024-05-06 03:18 PM, slack,-
2024-05-06 06:18 PM, ebb,-6.2
2024-05-06 09:24 PM, slack,-
2024-05-07 12:12 AM, flood,5.9
2024-05-07 03:06 AM, slack,-
2024-05-07 06:06 AM, ebb,-8.0
2024-05-07 10:00 AM, slack,-
2024-05-07 01:24 PM, flood,5.8
2024-05-07 04:12 PM, slack,-
2024-05-07 07:18 PM, ebb,-6.2
2024-05-07 10:18 PM, slack,-
2024-05-08 01:00 AM, flood,5.8
2024-05-08 03:54 AM, slack,-
2024-05-08 06:54 AM, ebb,-8.1
2024-05-08 10:48 AM, slack,-
2024-05-08 02:24 PM, flood,5.9
2024-05-08 05:06 PM, slack,-
2024-05-08 08:18 PM, ebb,-6.1
2024-05-08 11:12 PM, slack,-
2024-05-09 01:48 AM, flood,5.4
2024-05-09 04:42 AM, slack,-
2024-05-09 07:42 AM, ebb,-8.0
2024-05-09 11:36 AM, slack,-
2024-05-09 03:18 PM, flood,6.0
2024-05-09 06:06 PM, slack,-
2024-05-09 09:18 PM, ebb,-5.9
2024-05-10 12:06 AM, slack,-
2024-05-10 02:42 AM, flood,4.8
2024-05-10 05:24 AM, slack,-
2024-05-10 08:30 AM, ebb,-7.7
2024-05-10 12:24 PM, slack,-
2024-05-10 04:06 PM, flood,5.9
2024-05-10 07:00 PM, slack,-
2024-05-10 10:12 PM, ebb,-5.7
2024-05-11 01:06 AM, slack,-
2024-05-11 03:30 AM, flood,4.0
2024-05-11 06:12 AM, slack,-
2024-05-11 09:12 AM, ebb,-7.1
2024-05-11 01:06 PM, slack,-
2024-05-11 04:48 PM, flood,5.6
2024-05-11 07:48 PM, slack,-
2024-05-11 11:06 PM, ebb,-5.4
2024-05-12 02:06 AM, slack,-
2024-05-12 04:18 AM, flood,3.1
2024-05-12 07:00 AM, slack,-
2024-05-12 09:48 AM, ebb,-6.2
2024-05-12 01:48 PM, slack,-
2024-05-12 05:30 PM, flood,5.0
2024-05-12 08:36 PM, slack,-
2024-05-13 12:06 AM, ebb,-5.1
2024-05-13 03:06 AM, slack,-
2024-05-13 05:12 AM, flood,2.4
2024-05-13 07:48 AM, slack,-
2024-05-13 10:30 AM, ebb,-5.1
2024-05-13 02:36 PM, slack,-
2024-05-13 05:54 PM, flood,4.3
2024-05-13 09:18 PM, slack,-
2024-05-14 01:06 AM, ebb,-4.9
2024-05-14 04:06 AM, slack,-
2024-05-14 06:24 AM, flood,1.9
2024-05-14 08:48 AM, slack,-
2024-05-14 11:24 AM, ebb,-3.9
2024-05-14 03:24 PM, slack,-
2024-05-14 06:24 PM, flood,3.5
2024-05-14 09:54 PM, slack,-
2024-05-15 01:54 AM, ebb,-4.8
2024-05-15 05:00 AM, slack,-
2024-05-15 08:00 AM, flood,1.9
2024-05-15 10:00 AM, slack,-
2024-05-15 12:36 PM, ebb,-3.0
2024-05-15 04:30 PM, slack,-
2024-05-15 07:18 PM, flood,2.9
2024-05-15 10:36 PM, slack,-
2024-05-16 02:42 AM, ebb,-4.7
2024-05-16 05:48 AM, slack,-
2024-05-16 09:06 AM, flood,2.3
2024-05-16 11:18 AM, slack,-
2024-05-16 02:48 PM, ebb,-2.9
2024-05-16 05:36 PM, slack,-
2024-05-16 08:18 PM, flood,2.6
2024-05-16 11:24 PM, slack,-
2024-05-17 03:12 AM, ebb,-4.7
2024-05-17 06:30 AM, slack,-
2024-05-17 10:06 AM, flood,2.9
2024-05-17 12:18 PM, slack,-
2024-05-17 04:00 PM, ebb,-3.4
2024-05-17 06:36 PM, slack,-
2024-05-17 09:24 PM, flood,2.7
2024-05-18 12:06 AM, slack,-
2024-05-18 03:30 AM, ebb,-4.9
2024-05-18 07:06 AM, slack,-
2024-05-18 10:54 AM, flood,3.4
2024-05-18 01:06 PM, slack,-
2024-05-18 04:48 PM, ebb,-4.0
2024-05-18 07:24 PM, slack,-
2024-05-18 10:12 PM, flood,3.1
2024-05-19 12:54 AM, slack,-
2024-05-19 03:54 AM, ebb,-5.4
2024-05-19 07:42 AM, slack,-
2024-05-19 11:18 AM, flood,3.8
2024-05-19 01:48 PM, slack,-
2024-05-19 05:24 PM, ebb,-4.6
2024-05-19 08:12 PM, slack,-
2024-05-19 10:54 PM, flood,3.7
2024-05-20 01:36 AM, slack,-
2024-05-20 04:24 AM, ebb,-6.0
2024-05-20 08:24 AM, slack,-
2024-05-20 11:36 AM, flood,4.3
2024-05-20 02:30 PM, slack,-
2024-05-20 05:54 PM, ebb,-4.9
2024-05-20 08:54 PM, slack,-
2024-05-20 11:24 PM, flood,4.3
2024-05-21 02:12 AM, slack,-
2024-05-21 05:06 AM, ebb,-6.6
2024-05-21 09:00 AM, slack,-
2024-05-21 11:54 AM, flood,4.8
2024-05-21 03:18 PM, slack,-
2024-05-21 06:24 PM, ebb,-5.1
2024-05-21 09:42 PM, slack,-
2024-05-22 12:06 AM, flood,4.5
2024-05-22 02:54 AM, slack,-
2024-05-22 05:42 AM, ebb,-7.3
2024-05-22 09:36 AM, slack,-
2024-05-22 12:24 PM, flood,5.3
2024-05-22 04:06 PM, slack,-
2024-05-22 07:00 PM, ebb,-5.1
2024-05-22 10:24 PM, slack,-
2024-05-23 12:42 AM, flood,4.4
2024-05-23 03:30 AM, slack,-
2024-05-23 06:24 AM, ebb,-7.8
2024-05-23 10:18 AM, slack,-
2024-05-23 01:06 PM, flood,5.9
2024-05-23 04:54 PM, slack,-
2024-05-23 07:48 PM, ebb,-5.1
2024-05-23 11:18 PM, slack,-
2024-05-24 01:24 AM, flood,4.0
2024-05-24 04:06 AM, slack,-
2024-05-24 07:06 AM, ebb,-8.1
2024-05-24 10:54 AM, slack,-
2024-05-24 01:48 PM, flood,6.4
2024-05-24 05:42 PM, slack,-
2024-05-24 08:36 PM, ebb,-5.1
2024-05-25 12:06 AM, slack,-
2024-05-25 02:12 AM, flood,3.5
2024-05-25 04:42 AM, slack,-
2024-05-25 07:48 AM, ebb,-8.1
2024-05-25 11:30 AM, slack,-
2024-05-25 02:30 PM, flood,6.8
2024-05-25 06:30 PM, slack,-
2024-05-25 09:18 PM, ebb,-5.2
2024-05-26 01:00 AM, slack,-
2024-05-26 03:00 AM, flood,3.0
