,Dive_Site,Current_Speed_(knots),Moon Illuminated
6255,Deception Pass,5.1,0.24
6258,Deception Pass,4.8,0.24
6261,Deception Pass,7.3,0.15
6264,Deception Pass,5.6,0.15
6267,Deception Pass,5.6,0.15
6270,Deception Pass,5.0,0.15
6273,Deception Pass,7.8,0.08
6276,Deception Pass,6.4,0.08
6279,Deception Pass,6.0,0.08
6282,Deception Pass,4.9,0.08
6285,Deception Pass,7.9,0.03
6288,Deception Pass,6.7,0.03
6291,Deception Pass,6.2,0.03
6294,Deception Pass,4.5,0.01
6297,Deception Pass,7.7,0.01
6300,Deception Pass,6.7,0.01
6303,Deception Pass,6.3,0.01
6306,Deception Pass,4.0,0.0
6309,Deception Pass,7.1,0.0
6312,Deception Pass,6.4,0.0
6315,Deception Pass,6.2,0.0
6318,Deception Pass,3.6,0.02
6321,Deception Pass,6.3,0.02
6324,Deception Pass,5.7,0.02
6327,Deception Pass,6.1,0.02
6330,Deception Pass,3.4,0.06
6333,Deception Pass,5.6,0.06
6336,Deception Pass,5.0,0.06
6339,Deception Pass,5.7,0.06
6342,Deception Pass,3.2,0.12
6345,Deception Pass,5.0,0.12
6348,Deception Pass,4.4,0.12
6351,Deception Pass,5.4,0.12
6354,Deception Pass,3.1,0.18
6357,Deception Pass,4.5,0.18
6360,Deception Pass,3.8,0.18
6363,Deception Pass,5.1,0.18
6366,Deception Pass,3.0,0.26
6369,Deception Pass,4.0,0.26
6372,Deception Pass,3.4,0.26
6375,Deception Pass,4.9,0.26
6378,Deception Pass,2.8,0.35
6381,Deception Pass,3.6,0.35
6384,Deception Pass,3.1,0.35
6387,Deception Pass,4.7,0.35
6390,Deception Pass,2.6,0.44
6393,Deception Pass,3.3,0.44
6396,Deception Pass,3.0,0.44
6399,Deception Pass,4.7,0.54
6402,Deception Pass,2.5,0.54
6405,Deception Pass,3.4,0.54
6408,Deception Pass,3.1,0.54
6411,Deception Pass,5.0,0.63
6414,Deception Pass,2.8,0.63
6417,Deception Pass,3.7,0.63
6420,Deception Pass,3.2,0.63
6423,Deception Pass,5.6,0.72
6426,Deception Pass,3.5,0.72
6429,Deception Pass,4.2,0.72
6432,Deception Pass,3.3,0.72
6435,Deception Pass,6.4,0.81
6438,Deception Pass,4.5,0.81
6441,Deception Pass,4.7,0.81
6444,Deception Pass,3.3,0.81
6447,Deception Pass,7.0,0.88
6450,Deception Pass,5.6,0.88
6453,Deception Pass,5.1,0.88
6456,Deception Pass,3.3,0.88
6459,Deception Pass,7.5,0.94
6462,Deception Pass,6.4,0.94
6465,Deception Pass,5.4,0.94
6468,Deception Pass,3.3,0.98
6471,Deception Pass,7.6,0.98
6474,Deception Pass,6.9,0.98
6477,Deception Pass,5.8,0.98
6480,Deception Pass,3.3,1.0
6483,Deception Pass,7.5,1.0
6486,Deception Pass,7.1,1.0
6489,Deception Pass,6.2,1.0
6492,Deception Pass,3.5,0.99
6495,Deception Pass,7.2,0.99
6498,Deception Pass,6.9,0.99
6501,Deception Pass,6.5,0.99
6504,Deception Pass,3.7,0.95
6507,Deception Pass,6.8,0.95
6510,Deception Pass,6.6,0.95
6513,Deception Pass,6.8,0.95
6516,Deception Pass,4.0,0.89
6519,Deception Pass,6.4,0.89
6522,Deception Pass,6.2,0.89
6525,Deception Pass,7.0,0.89
6528,Deception Pass,4.1,0.8
6531,Deception Pass,6.0,0.8
6534,Deception Pass,5.7,0.8
6537,Deception Pass,6.8,0.8
6540,Deception Pass,3.9,0.7
6543,Deception Pass,5.4,0.7
6546,Deception Pass,5.2,0.7
6549,Deception Pass,6.5,0.7
6552,Deception Pass,3.5,0.59
6555,Deception Pass,4.7,0.59
6558,Deception Pass,4.7,0.59
6561,Deception Pass,6.2,0.48
6564,Deception Pass,3.4,0.48
6567,Deception Pass,4.3,0.48
6570,Deception Pass,4.4,0.48
6573,Deception Pass,6.3,0.37
6576,Deception Pass,4.0,0.37
6579,Deception Pass,4.5,0.37
6582,Deception Pass,4.2,0.37
6585,Deception Pass,6.6,0.26
6588,Deception Pass,5.0,0.26
6591,Deception Pass,5.0,0.26
6594,Deception Pass,4.2,0.26
6597,Deception Pass,6.9,0.18
6600,Deception Pass,5.9,0.18
6603,Deception Pass,5.7,0.18
6606,Deception Pass,4.2,0.18
6609,Deception Pass,7.1,0.1
6612,Deception Pass,6.6,0.1
6615,Deception Pass,6.2,0.1
6618,Deception Pass,4.2,0.1
6621,Deception Pass,7.0,0.05
6624,Deception Pass,6.6,0.05
6627,Deception Pass,6.5,0.05
6630,Deception Pass,4.1,0.01
6633,Deception Pass,6.6,0.01
6636,Deception Pass,6.2,0.01
6639,Deception Pass,6.5,0.01
6642,Deception Pass,4.0,0.0
6645,Deception Pass,6.0,0.0
6648,Deception Pass,5.6,0.0
6651,Deception Pass,6.3,0.0
6654,Deception Pass,3.9,0.01
6657,Deception Pass,5.5,0.01
6660,Deception Pass,4.9,0.01
6663,Deception Pass,5.9,0.01
6666,Deception Pass,3.8,0.03
6669,Deception Pass,5.1,0.03
6672,Deception Pass,4.3,0.03
6675,Deception Pass,5.7,0.03
6678,Deception Pass,3.8,0.08
6681,Deception Pass,4.9,0.08
6684,Deception Pass,4.0,0.08
6687,Deception Pass,5.6,0.08
6690,Deception Pass,3.8,0.13
6693,Deception Pass,4.8,0.13
6696,Deception Pass,3.9,0.13
6699,Deception Pass,5.5,0.13
6702,Deception Pass,3.7,0.21
6705,Deception Pass,4.6,0.21
6708,Deception Pass,3.8,0.21
6711,Deception Pass,5.5,0.21
6714,Deception Pass,3.5,0.29
6717,Deception Pass,4.2,0.29
6720,Deception Pass,3.6,0.29
6723,Deception Pass,5.3,0.29
6726,Deception Pass,3.2,0.38
6729,Deception Pass,3.7,0.38
6732,Deception Pass,3.3,0.38
6735,Deception Pass,5.3,0.38
6738,Deception Pass,3.1,0.47
6741,Deception Pass,3.4,0.47
6744,Deception Pass,3.0,0.47
6747,Deception Pass,5.5,0.57
6750,Deception Pass,3.4,0.57
6753,Deception Pass,3.6,0.57
6756,Deception Pass,2.7,0.57
6759,Deception Pass,5.8,0.67
6762,Deception Pass,4.1,0.67
6765,Deception Pass,4.2,0.67
6768,Deception Pass,2.5,0.67
6771,Deception Pass,6.2,0.76
6774,Deception Pass,5.0,0.76
6777,Deception Pass,4.9,0.76
6780,Deception Pass,2.6,0.76
6783,Deception Pass,6.5,0.85
6786,Deception Pass,5.8,0.85
6789,Deception Pass,5.5,0.85
6792,Deception Pass,2.9,0.85
6795,Deception Pass,6.7,0.92
6798,Deception Pass,6.4,0.92
6801,Deception Pass,6.0,0.92
6804,Deception Pass,3.3,0.92
6807,Deception Pass,6.8,0.97
6810,Deception Pass,6.6,0.97
6813,Deception Pass,6.4,0.97
6816,Deception Pass,3.8,1.0
6819,Deception Pass,6.7,1.0
6822,Deception Pass,6.5,1.0
6825,Deception Pass,6.8,1.0
6828,Deception Pass,4.3,0.99
6831,Deception Pass,6.6,0.99
6834,Deception Pass,6.3,0.99
6837,Deception Pass,7.1,0.99
6840,Deception Pass,4.6,0.96
6843,Deception Pass,6.5,0.96
6846,Deception Pass,6.0,0.96
6849,Deception Pass,7.3,0.96
6852,Deception Pass,4.8,0.91
6855,Deception Pass,6.4,0.91
6858,Deception Pass,5.9,0.91
6861,Deception Pass,7.4,0.91
6864,Deception Pass,4.7,0.82
6867,Deception Pass,6.0,0.82
6870,Deception Pass,5.6,0.82
6873,Deception Pass,7.3,0.82
6876,Deception Pass,4.3,0.73
6879,Deception Pass,5.4,0.73
6882,Deception Pass,5.2,0.73
6885,Deception Pass,7.0,0.73
6888,Deception Pass,3.9,0.62
6891,Deception Pass,4.6,0.62
6894,Deception Pass,4.6,0.62
6897,Deception Pass,6.6,0.62
6900,Deception Pass,3.9,0.51
6903,Deception Pass,4.3,0.51
6906,Deception Pass,3.9,0.51
6909,Deception Pass,6.3,0.4
6912,Deception Pass,4.4,0.4
6915,Deception Pass,4.6,0.4
6918,Deception Pass,3.4,0.4
6921,Deception Pass,6.1,0.3
6924,Deception Pass,5.2,0.3
6927,Deception Pass,5.3,0.3
6930,Deception Pass,3.3,0.3
6933,Deception Pass,6.0,0.21
6936,Deception Pass,5.8,0.21
6939,Deception Pass,6.0,0.21
6942,Deception Pass,3.5,0.21
6945,Deception Pass,5.9,0.13
6948,Deception Pass,6.0,0.13
6951,Deception Pass,6.5,0.13
6954,Deception Pass,3.9,0.13
6957,Deception Pass,5.7,0.07
6960,Deception Pass,5.8,0.07
6963,Deception Pass,6.6,0.07
6966,Deception Pass,4.2,0.03
6969,Deception Pass,5.5,0.03
6972,Deception Pass,5.2,0.03
6975,Deception Pass,6.4,0.03
6978,Deception Pass,4.3,0.01
6981,Deception Pass,5.3,0.01
6984,Deception Pass,4.6,0.01
6987,Deception Pass,6.0,0.01
6990,Deception Pass,4.3,0.0
6993,Deception Pass,5.1,0.0
6996,Deception Pass,4.2,0.0
6999,Deception Pass,5.8,0.0
7002,Deception Pass,4.3,0.01
7005,Deception Pass,5.1,0.01
7008,Deception Pass,4.0,0.01
7011,Deception Pass,5.8,0.01
7014,Deception Pass,4.3,0.05
7017,Deception Pass,5.1,0.05
7020,Deception Pass,4.1,0.05
7023,Deception Pass,5.9,0.05
7026,Deception Pass,4.3,0.09
7029,Deception Pass,5.1,0.09
7032,Deception Pass,4.2,0.09
7035,Deception Pass,6.1,0.09
7038,Deception Pass,4.3,0.15
7041,Deception Pass,4.9,0.15
7044,Deception Pass,4.1,0.15
7047,Deception Pass,6.2,0.15
7050,Deception Pass,4.2,0.23
7053,Deception Pass,4.5,0.23
7056,Deception Pass,3.8,0.23
7059,Deception Pass,6.2,0.23
7062,Deception Pass,4.1,0.31
7065,Deception Pass,3.9,0.31
7068,Deception Pass,3.1,0.31
7071,Deception Pass,6.1,0.31
7074,Deception Pass,4.1,0.41
7077,Deception Pass,3.5,0.41
7080,Deception Pass,2.4,0.41
7083,Deception Pass,5.9,0.51
7086,Deception Pass,4.4,0.51
7089,Deception Pass,3.9,0.51
7092,Deception Pass,1.9,0.51
7095,Deception Pass,5.7,0.61
7098,Deception Pass,4.8,0.61
7101,Deception Pass,4.6,0.61
7104,Deception Pass,1.8,0.61
7107,Deception Pass,5.6,0.71
7110,Deception Pass,5.2,0.71
7113,Deception Pass,5.3,0.71
7116,Deception Pass,2.2,0.71
7119,Deception Pass,5.6,0.81
7122,Deception Pass,5.5,0.81
7125,Deception Pass,5.9,0.81
7128,Deception Pass,3.0,0.81
7131,Deception Pass,5.7,0.89
7134,Deception Pass,5.8,0.89
7137,Deception Pass,6.5,0.89
7140,Deception Pass,3.9,0.89
7143,Deception Pass,6.0,0.95
7146,Deception Pass,5.9,0.95
7149,Deception Pass,7.0,0.95
7152,Deception Pass,4.6,0.99
7155,Deception Pass,6.2,0.99
7158,Deception Pass,5.9,0.99
7161,Deception Pass,7.3,0.99
7164,Deception Pass,5.1,1.0
7167,Deception Pass,6.3,1.0
7170,Deception Pass,5.9,1.0
7173,Deception Pass,7.6,1.0
7176,Deception Pass,5.2,0.98
7179,Deception Pass,6.3,0.98
7182,Deception Pass,5.9,0.98
7185,Deception Pass,7.7,0.98
7188,Deception Pass,5.2,0.93
7191,Deception Pass,6.2,0.93
7194,Deception Pass,5.8,0.93
7197,Deception Pass,7.8,0.93
7200,Deception Pass,5.1,0.85
7203,Deception Pass,5.9,0.85
7206,Deception Pass,5.5,0.85
7209,Deception Pass,7.8,0.85
7212,Deception Pass,4.8,0.76
7215,Deception Pass,5.3,0.76
7218,Deception Pass,4.9,0.76
7221,Deception Pass,7.4,0.76
7224,Deception Pass,4.6,0.66
7227,Deception Pass,4.7,0.66
7230,Deception Pass,4.0,0.66
7233,Deception Pass,6.7,0.66
7236,Deception Pass,4.6,0.55
7239,Deception Pass,4.6,0.55
7242,Deception Pass,3.1,0.55
7245,Deception Pass,5.9,0.44
7248,Deception Pass,4.8,0.44
7251,Deception Pass,5.0,0.44
7254,Deception Pass,2.6,0.44
7257,Deception Pass,5.1,0.34
7260,Deception Pass,4.9,0.34
7263,Deception Pass,5.6,0.34
7266,Deception Pass,2.7,0.34
7269,Deception Pass,4.7,0.25
7272,Deception Pass,5.0,0.25
7275,Deception Pass,6.1,0.25
7278,Deception Pass,3.3,0.25
7281,Deception Pass,4.6,0.17
7284,Deception Pass,4.9,0.17
7287,Deception Pass,6.3,0.17
7290,Deception Pass,3.9,0.17
7293,Deception Pass,4.8,0.1
7296,Deception Pass,4.5,0.1
7299,Deception Pass,6.2,0.1
7302,Deception Pass,4.4,0.05
7305,Deception Pass,4.9,0.05
7308,Deception Pass,4.2,0.05
7311,Deception Pass,6.0,0.05
7314,Deception Pass,4.5,0.02
7317,Deception Pass,5.1,0.02
7320,Deception Pass,4.0,0.02
7323,Deception Pass,5.9,0.02
7326,Deception Pass,4.5,0.0
7329,Deception Pass,5.1,0.0
7332,Deception Pass,4.0,0.0
7335,Deception Pass,6.0,0.0
7338,Deception Pass,4.5,0.0
7341,Deception Pass,5.2,0.0
7344,Deception Pass,4.2,0.0
7347,Deception Pass,6.2,0.0
7350,Deception Pass,4.6,0.02
7353,Deception Pass,5.2,0.02
7356,Deception Pass,4.3,0.02
7359,Deception Pass,6.5,0.02
7362,Deception Pass,4.7,0.06
7365,Deception Pass,5.2,0.06
7368,Deception Pass,4.3,0.06
7371,Deception Pass,6.9,0.06
7374,Deception Pass,5.0,0.11
7377,Deception Pass,5.0,0.11
7380,Deception Pass,4.0,0.11
7383,Deception Pass,7.1,0.11
7386,Deception Pass,5.2,0.18
7389,Deception Pass,4.6,0.18
7392,Deception Pass,3.4,0.18
7395,Deception Pass,7.0,0.18
7398,Deception Pass,5.4,0.26
7401,Deception Pass,4.3,0.26
7404,Deception Pass,2.6,0.26
7407,Deception Pass,6.6,0.26
7410,Deception Pass,5.4,0.35
7413,Deception Pass,4.0,0.35
7416,Deception Pass,1.8,0.35
7419,Deception Pass,5.9,0.35
7422,Deception Pass,5.3,0.45
7425,Deception Pass,4.3,0.45
7428,Deception Pass,1.5,0.45
7431,Deception Pass,5.2,0.56
7434,Deception Pass,5.1,0.56
7437,Deception Pass,4.9,0.56
7439,Deception Pass,1.7,0.56
7443,Deception Pass,4.8,0.67
7446,Deception Pass,5.0,0.67
7449,Deception Pass,5.5,0.67
7452,Deception Pass,2.5,0.67
7455,Deception Pass,4.8,0.77
7458,Deception Pass,5.0,0.77
7461,Deception Pass,6.1,0.77
7464,Deception Pass,3.6,0.77
7467,Deception Pass,5.1,0.86
7470,Deception Pass,5.1,0.86
7473,Deception Pass,6.7,0.86
7476,Deception Pass,4.5,0.86
7479,Deception Pass,5.6,0.93
7482,Deception Pass,5.3,0.93
7485,Deception Pass,7.3,0.93
7488,Deception Pass,5.1,0.98
7491,Deception Pass,6.0,0.98
7494,Deception Pass,5.6,0.98
7497,Deception Pass,7.7,0.98
7500,Deception Pass,5.4,1.0
7503,Deception Pass,6.2,1.0
7506,Deception Pass,5.8,1.0
7509,Deception Pass,8.0,1.0
7512,Deception Pass,5.6,0.99
7515,Deception Pass,6.1,0.99
7518,Deception Pass,5.8,0.99
7521,Deception Pass,8.2,0.99
7524,Deception Pass,5.6,0.95
7527,Deception Pass,5.9,0.95
7530,Deception Pass,5.6,0.95
7533,Deception Pass,8.3,0.95
7536,Deception Pass,5.7,0.88
7539,Deception Pass,5.7,0.88
7542,Deception Pass,5.0,0.88
7545,Deception Pass,8.0,0.88
7548,Deception Pass,5.6,0.8
7551,Deception Pass,5.4,0.8
7554,Deception Pass,4.2,0.8
7557,Deception Pass,7.4,0.8
7560,Deception Pass,5.4,0.71
7563,Deception Pass,5.1,0.71
7566,Deception Pass,3.2,0.71
7569,Deception Pass,6.4,0.71
7572,Deception Pass,5.0,0.6
7575,Deception Pass,5.1,0.6
7578,Deception Pass,2.4,0.6
7581,Deception Pass,5.1,0.6
7584,Deception Pass,4.6,0.5
7587,Deception Pass,5.3,0.5
7590,Deception Pass,2.2,0.5
7593,Deception Pass,4.0,0.4
7596,Deception Pass,4.1,0.4
7599,Deception Pass,5.5,0.4
7602,Deception Pass,2.5,0.4
7605,Deception Pass,3.6,0.31
7608,Deception Pass,3.8,0.31
7611,Deception Pass,5.6,0.31
7614,Deception Pass,3.2,0.31
7617,Deception Pass,3.9,0.22
7620,Deception Pass,3.5,0.22
7623,Deception Pass,5.6,0.22
7626,Deception Pass,3.8,0.22
7629,Deception Pass,4.3,0.15
7632,Deception Pass,3.5,0.15
7635,Deception Pass,5.5,0.15
7638,Deception Pass,4.2,0.15
7641,Deception Pass,4.7,0.09
7644,Deception Pass,3.6,0.09
7647,Deception Pass,5.6,0.09
7650,Deception Pass,4.3,0.04
7653,Deception Pass,5.0,0.04
7656,Deception Pass,3.9,0.04
7659,Deception Pass,5.9,0.04
7662,Deception Pass,4.4,0.01
7665,Deception Pass,5.1,0.01
7668,Deception Pass,4.2,0.01
7671,Deception Pass,6.4,0.01
7674,Deception Pass,4.7,0.0
7677,Deception Pass,5.1,0.0
7680,Deception Pass,4.4,0.0
7683,Deception Pass,6.9,0.0
7686,Deception Pass,5.0,0.01
7689,Deception Pass,5.1,0.01
7692,Deception Pass,4.4,0.01
7695,Deception Pass,7.3,0.01
7698,Deception Pass,5.4,0.03
7701,Deception Pass,5.1,0.03
7704,Deception Pass,4.0,0.03
7707,Deception Pass,7.6,0.03
7710,Deception Pass,5.9,0.07
7713,Deception Pass,5.0,0.07
7716,Deception Pass,3.5,0.07
7719,Deception Pass,7.6,0.07
7722,Deception Pass,6.3,0.14
7725,Deception Pass,5.0,0.14
7728,Deception Pass,2.9,0.14
7731,Deception Pass,7.3,0.14
7734,Deception Pass,6.4,0.21
7737,Deception Pass,4.9,0.21
7740,Deception Pass,2.2,0.21
7743,Deception Pass,6.6,0.21
7746,Deception Pass,6.2,0.3
7749,Deception Pass,4.9,0.3
7752,Deception Pass,1.8,0.3
7755,Deception Pass,5.7,0.3
7758,Deception Pass,5.6,0.4
7761,Deception Pass,4.9,0.4
7764,Deception Pass,1.7,0.4
7767,Deception Pass,4.7,0.4
7770,Deception Pass,5.0,0.51
7773,Deception Pass,5.2,0.51
7776,Deception Pass,2.1,0.51
7779,Deception Pass,4.2,0.62
7782,Deception Pass,4.6,0.62
7785,Deception Pass,5.7,0.62
7788,Deception Pass,2.9,0.62
7791,Deception Pass,4.3,0.73
7794,Deception Pass,4.5,0.73
7797,Deception Pass,6.2,0.73
7800,Deception Pass,3.9,0.73
7803,Deception Pass,4.8,0.83
7806,Deception Pass,4.7,0.83
7809,Deception Pass,6.9,0.83
7812,Deception Pass,4.8,0.83
7815,Deception Pass,5.4,0.91
7818,Deception Pass,5.2,0.91
7821,Deception Pass,7.6,0.91
7824,Deception Pass,5.4,0.91
7827,Deception Pass,5.8,0.96
7830,Deception Pass,5.6,0.96
7833,Deception Pass,8.1,0.96
7836,Deception Pass,5.8,0.99
7839,Deception Pass,5.9,0.99
7842,Deception Pass,5.7,0.99
7845,Deception Pass,8.5,0.99
7848,Deception Pass,6.0,1.0
7851,Deception Pass,5.9,1.0
7854,Deception Pass,5.5,1.0
7857,Deception Pass,8.6,1.0
7860,Deception Pass,6.3,0.97
7863,Deception Pass,5.9,0.97
7866,Deception Pass,4.9,0.97
7869,Deception Pass,8.3,0.97
7872,Deception Pass,6.4,0.92
7875,Deception Pass,5.9,0.92
7878,Deception Pass,4.2,0.92
7881,Deception Pass,7.8,0.92
7884,Deception Pass,6.2,0.85
7887,Deception Pass,5.8,0.85
7890,Deception Pass,3.5,0.85
7893,Deception Pass,6.9,0.85
7896,Deception Pass,5.7,0.76
7899,Deception Pass,5.6,0.76
7902,Deception Pass,2.8,0.76
7905,Deception Pass,5.7,0.76
7908,Deception Pass,4.9,0.67
7911,Deception Pass,5.3,0.67
7914,Deception Pass,2.3,0.67
7917,Deception Pass,4.4,0.67
7920,Deception Pass,4.0,0.57
7923,Deception Pass,5.1,0.57
7926,Deception Pass,2.2,0.57
7929,Deception Pass,3.4,0.57
7932,Deception Pass,3.2,0.47
7935,Deception Pass,4.8,0.47
7938,Deception Pass,2.5,0.47
7941,Deception Pass,3.2,0.38
7944,Deception Pass,2.7,0.38
7947,Deception Pass,4.7,0.38
7950,Deception Pass,2.9,0.38
7953,Deception Pass,3.6,0.29
7956,Deception Pass,2.7,0.29
7959,Deception Pass,4.7,0.29
7962,Deception Pass,3.3,0.29
7965,Deception Pass,4.1,0.21
7968,Deception Pass,3.0,0.21
7971,Deception Pass,5.0,0.21
7974,Deception Pass,3.7,0.21
7977,Deception Pass,4.5,0.14
7980,Deception Pass,3.5,0.14
7983,Deception Pass,5.5,0.14
7986,Deception Pass,4.0,0.14
7989,Deception Pass,4.8,0.08
7992,Deception Pass,4.0,0.08
7995,Deception Pass,6.2,0.08
7998,Deception Pass,4.4,0.08
8001,Deception Pass,4.9,0.04
8004,Deception Pass,4.3,0.04
8007,Deception Pass,6.9,0.04
8010,Deception Pass,5.0,0.04
8013,Deception Pass,5.0,0.01
8016,Deception Pass,4.3,0.01
8019,Deception Pass,7.5,0.01
8022,Deception Pass,5.7,0.01
8025,Deception Pass,5.1,0.0
8028,Deception Pass,3.9,0.0
8031,Deception Pass,7.8,0.0
8034,Deception Pass,6.3,0.01
8037,Deception Pass,5.2,0.01
8040,Deception Pass,3.5,0.01
8043,Deception Pass,7.8,0.01
8046,Deception Pass,6.8,0.05
8049,Deception Pass,5.4,0.05
8052,Deception Pass,3.0,0.05
8055,Deception Pass,7.6,0.05
8058,Deception Pass,7.0,0.1
8061,Deception Pass,5.6,0.1
8064,Deception Pass,2.7,0.1
8067,Deception Pass,7.1,0.1
8070,Deception Pass,6.9,0.17
8073,Deception Pass,5.8,0.17
8076,Deception Pass,2.5,0.17
8079,Deception Pass,6.3,0.17
8082,Deception Pass,6.3,0.26
8085,Deception Pass,5.8,0.26
8088,Deception Pass,2.4,0.26
8091,Deception Pass,5.4,0.26
8094,Deception Pass,5.5,0.36
8097,Deception Pass,5.7,0.36
8100,Deception Pass,2.5,0.36
8103,Deception Pass,4.5,0.36
8106,Deception Pass,4.7,0.47
8109,Deception Pass,5.6,0.47
8112,Deception Pass,2.7,0.47
8115,Deception Pass,4.1,0.58
8118,Deception Pass,4.3,0.58
8121,Deception Pass,5.9,0.58
8124,Deception Pass,3.2,0.58
8127,Deception Pass,4.2,0.69
8130,Deception Pass,4.3,0.69
8133,Deception Pass,6.4,0.69
8136,Deception Pass,4.0,0.69
8139,Deception Pass,4.6,0.79
8142,Deception Pass,4.7,0.79
8145,Deception Pass,7.1,0.79
8148,Deception Pass,4.9,0.79
8151,Deception Pass,5.2,0.88
8154,Deception Pass,5.1,0.88
8157,Deception Pass,7.8,0.88
8160,Deception Pass,5.7,0.88
8163,Deception Pass,5.6,0.94
8166,Deception Pass,5.4,0.94
8169,Deception Pass,8.4,0.94
8172,Deception Pass,6.3,0.94
8175,Deception Pass,5.8,0.98
8178,Deception Pass,5.3,0.98
8181,Deception Pass,8.6,0.98
8184,Deception Pass,6.7,1.0
8187,Deception Pass,6.0,1.0
8190,Deception Pass,4.8,1.0
8193,Deception Pass,8.3,1.0
8196,Deception Pass,6.9,0.99
8199,Deception Pass,6.2,0.99
8202,Deception Pass,4.2,0.99
8205,Deception Pass,7.8,0.99
8208,Deception Pass,6.7,0.95
8211,Deception Pass,6.3,0.95
8214,Deception Pass,3.7,0.95
8217,Deception Pass,6.9,0.95
8220,Deception Pass,6.2,0.89
8223,Deception Pass,6.2,0.89
8226,Deception Pass,3.3,0.89
8229,Deception Pass,6.0,0.89
8232,Deception Pass,5.4,0.82
8235,Deception Pass,5.8,0.82
8238,Deception Pass,2.9,0.82
8241,Deception Pass,5.0,0.82
8244,Deception Pass,4.5,0.74
8247,Deception Pass,5.2,0.74
8250,Deception Pass,2.6,0.74
8253,Deception Pass,4.1,0.74
8256,Deception Pass,3.5,0.65
8259,Deception Pass,4.6,0.65
8262,Deception Pass,2.4,0.65
8265,Deception Pass,3.3,0.65
8268,Deception Pass,2.8,0.56
8271,Deception Pass,4.2,0.56
8274,Deception Pass,2.2,0.56
8277,Deception Pass,3.2,0.46
8280,Deception Pass,2.5,0.46
8283,Deception Pass,4.1,0.46
8286,Deception Pass,2.3,0.46
8289,Deception Pass,3.4,0.37
8292,Deception Pass,2.6,0.37
8295,Deception Pass,4.4,0.37
8298,Deception Pass,2.6,0.37
8301,Deception Pass,3.8,0.28
8304,Deception Pass,3.0,0.28
8307,Deception Pass,4.9,0.28
8310,Deception Pass,3.2,0.28
8313,Deception Pass,4.2,0.2
8316,Deception Pass,3.4,0.2
8319,Deception Pass,5.7,0.2
8322,Deception Pass,3.9,0.2
8325,Deception Pass,4.6,0.13
8328,Deception Pass,3.8,0.13
8331,Deception Pass,6.5,0.13
8334,Deception Pass,4.7,0.13
8336,Deception Pass,4.9,0.07
8340,Deception Pass,3.9,0.07
8343,Deception Pass,7.2,0.07
8346,Deception Pass,5.6,0.07
8349,Deception Pass,5.1,0.03
8352,Deception Pass,3.7,0.03
8355,Deception Pass,7.6,0.03
8358,Deception Pass,6.4,0.03
8361,Deception Pass,5.4,0.01
8364,Deception Pass,3.4,0.01
8367,Deception Pass,7.7,0.01
8370,Deception Pass,6.9,0.0
8373,Deception Pass,5.7,0.0
8376,Deception Pass,3.2,0.0
8379,Deception Pass,7.5,0.0
